cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,staff_pick,spotlight,category,subcategory
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0,failed,0,CA,CAD,1970-01-01 00:00:01.581573600+00:00,1970-01-01 00:00:01.614578400+00:00,False,False,food,food trucks
1621,3765,Odom Inc,Managed bottom-line architecture,1400.0,14560,successful,158,US,USD,1970-01-01 00:00:01.611554400+00:00,1970-01-01 00:00:01.621918800+00:00,False,True,music,rock
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400.0,142523,successful,1425,AU,AUD,1970-01-01 00:00:01.608184800+00:00,1970-01-01 00:00:01.640844+00:00,False,False,technology,web
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2477,failed,24,US,USD,1970-01-01 00:00:01.634792400+00:00,1970-01-01 00:00:01.642399200+00:00,False,False,music,rock
1365,2199,Larson-Little,Proactive foreground core,7600.0,5265,failed,53,US,USD,1970-01-01 00:00:01.608530400+00:00,1970-01-01 00:00:01.629694800+00:00,False,False,theater,plays
2057,5650,Harris Group,Open-source optimizing database,7600.0,13195,successful,174,DK,DKK,1970-01-01 00:00:01.607666400+00:00,1970-01-01 00:00:01.630213200+00:00,False,False,theater,plays
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200.0,1090,failed,18,GB,GBP,1970-01-01 00:00:01.596171600+00:00,1970-01-01 00:00:01.620709200+00:00,False,False,film & video,documentary
2669,4842,Carter-Guzman,Centralized cohesive challenge,4500.0,14741,successful,227,DK,DKK,1970-01-01 00:00:01.608616800+00:00,1970-01-01 00:00:01.632200400+00:00,False,False,theater,plays
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet,110100.0,21946,live,708,DK,DKK,1970-01-01 00:00:01.586322+00:00,1970-01-01 00:00:01.615356+00:00,False,False,theater,plays
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208,failed,44,US,USD,1970-01-01 00:00:01.628830800+00:00,1970-01-01 00:00:01.630386+00:00,False,False,music,electric music
2340,3064,Green Ltd,Monitored empowering installation,5200.0,13838,successful,220,US,USD,1970-01-01 00:00:01.594443600+00:00,1970-01-01 00:00:01.627880400+00:00,False,False,film & video,drama
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300.0,3030,failed,27,US,USD,1970-01-01 00:00:01.597122+00:00,1970-01-01 00:00:01.624683600+00:00,False,True,theater,plays
1950,1299,Kim Ltd,Assimilated hybrid intranet,6300.0,5629,failed,55,US,USD,1970-01-01 00:00:01.605333600+00:00,1970-01-01 00:00:01.617944400+00:00,False,False,film & video,drama
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,10295,successful,98,US,USD,1970-01-01 00:00:01.605074400+00:00,1970-01-01 00:00:01.636174800+00:00,False,False,music,indie rock
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,18829,failed,200,US,USD,1970-01-01 00:00:01.636869600+00:00,1970-01-01 00:00:01.641103200+00:00,False,False,music,indie rock
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200.0,38414,failed,452,US,USD,1970-01-01 00:00:01.635138+00:00,1970-01-01 00:00:01.639634400+00:00,False,False,technology,wearables
1245,4269,Hines Inc,Cross-platform systemic adapter,1700.0,11041,successful,100,US,USD,1970-01-01 00:00:01.629435600+00:00,1970-01-01 00:00:01.640152800+00:00,False,False,publishing,nonfiction
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology,84600.0,134845,successful,1249,US,USD,1970-01-01 00:00:01.586667600+00:00,1970-01-01 00:00:01.616562+00:00,False,False,film & video,animation
875,1558,Johnson-Gould,Exclusive needs-based adapter,9100.0,6089,canceled,135,US,USD,1970-01-01 00:00:01.616562+00:00,1970-01-01 00:00:01.643263200+00:00,False,False,theater,plays
2283,2307,Perez-Hess,Down-sized cohesive archive,62500.0,30331,failed,674,US,USD,1970-01-01 00:00:01.634014800+00:00,1970-01-01 00:00:01.637128800+00:00,False,True,theater,plays
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance,131800.0,147936,successful,1396,US,USD,1970-01-01 00:00:01.586667600+00:00,1970-01-01 00:00:01.617944400+00:00,False,False,film & video,drama
711,5695,Simmons-Reynolds,Re-engineered intangible definition,94000.0,38533,failed,558,US,USD,1970-01-01 00:00:01.615701600+00:00,1970-01-01 00:00:01.619672400+00:00,False,False,theater,plays
1747,5708,Collier Inc,Enhanced dynamic definition,59100.0,75690,successful,890,US,USD,1970-01-01 00:00:01.594011600+00:00,1970-01-01 00:00:01.628053200+00:00,False,False,theater,plays
1825,1663,Gray-Jenkins,Devolved next generation adapter,4500.0,14942,successful,142,GB,GBP,1970-01-01 00:00:01.627016400+00:00,1970-01-01 00:00:01.631422800+00:00,False,False,film & video,documentary
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.0,104257,successful,2673,US,USD,1970-01-01 00:00:01.619845200+00:00,1970-01-01 00:00:01.633064400+00:00,False,False,technology,wearables
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.0,11904,successful,163,US,USD,1970-01-01 00:00:01.602219600+00:00,1970-01-01 00:00:01.621746+00:00,False,True,games,video games
2653,2251,Spencer-Bates,Optional responsive customer loyalty,107500.0,51814,canceled,1480,US,USD,1970-01-01 00:00:01.605852+00:00,1970-01-01 00:00:01.627362+00:00,False,False,theater,plays
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599,failed,15,US,USD,1970-01-01 00:00:01.610085600+00:00,1970-01-01 00:00:01.634274+00:00,False,False,music,rock
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,130800.0,137635,successful,2220,US,USD,1970-01-01 00:00:01.608703200+00:00,1970-01-01 00:00:01.640239200+00:00,False,True,theater,plays
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.0,150965,successful,1606,CH,CHF,1970-01-01 00:00:01.604642400+00:00,1970-01-01 00:00:01.630040400+00:00,False,False,film & video,shorts
2303,4326,Clark-Cooke,Down-sized analyzing challenge,9000.0,14455,successful,129,US,USD,1970-01-01 00:00:01.603861200+00:00,1970-01-01 00:00:01.613368800+00:00,False,False,film & video,animation
2224,5560,Schroeder Ltd,Progressive needs-based focus group,3500.0,10850,successful,226,GB,GBP,1970-01-01 00:00:01.606284+00:00,1970-01-01 00:00:01.612504800+00:00,False,False,games,video games
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,101000.0,87676,failed,2307,IT,EUR,1970-01-01 00:00:01.613887200+00:00,1970-01-01 00:00:01.637906400+00:00,False,False,film & video,documentary
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,50200.0,189666,successful,5419,US,USD,1970-01-01 00:00:01.617512400+00:00,1970-01-01 00:00:01.639029600+00:00,False,False,theater,plays
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.0,14025,successful,165,US,USD,1970-01-01 00:00:01.611640800+00:00,1970-01-01 00:00:01.639116+00:00,False,False,film & video,documentary
2871,4994,Mitchell and Sons,Synergized intangible challenge,125500.0,188628,successful,1965,DK,DKK,1970-01-01 00:00:01.615870800+00:00,1970-01-01 00:00:01.616648400+00:00,False,True,film & video,drama
2034,1471,Jackson-Lewis,Monitored multi-state encryption,700.0,1101,successful,16,US,USD,1970-01-01 00:00:01.617771600+00:00,1970-01-01 00:00:01.637906400+00:00,False,False,theater,plays
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.0,11339,successful,107,US,USD,1970-01-01 00:00:01.605852+00:00,1970-01-01 00:00:01.634533200+00:00,False,True,publishing,fiction
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,3100.0,10085,successful,134,US,USD,1970-01-01 00:00:01.629694800+00:00,1970-01-01 00:00:01.641794400+00:00,False,False,photography,photography books
170,3477,Kim-Rice,Organized bi-directional function,9900.0,5027,failed,88,DK,DKK,1970-01-01 00:00:01.618376400+00:00,1970-01-01 00:00:01.619845200+00:00,False,False,theater,plays
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.0,14878,successful,198,US,USD,1970-01-01 00:00:01.605679200+00:00,1970-01-01 00:00:01.616043600+00:00,False,True,technology,wearables
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.0,11924,successful,111,IT,EUR,1970-01-01 00:00:01.615957200+00:00,1970-01-01 00:00:01.625720400+00:00,False,True,music,rock
1175,2288,Werner-Bryant,Virtual uniform frame,1800.0,7991,successful,222,US,USD,1970-01-01 00:00:01.592629200+00:00,1970-01-01 00:00:01.611986400+00:00,False,False,food,food trucks
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,90200.0,167717,successful,6212,US,USD,1970-01-01 00:00:01.605333600+00:00,1970-01-01 00:00:01.625547600+00:00,False,False,publishing,radio & podcasts
91,1294,Reid-Mccullough,Visionary real-time groupware,1600.0,10541,successful,98,DK,DKK,1970-01-01 00:00:01.606284+00:00,1970-01-01 00:00:01.614578400+00:00,False,False,publishing,fiction
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,9500.0,4530,failed,48,US,USD,1970-01-01 00:00:01.610949600+00:00,1970-01-01 00:00:01.616216400+00:00,False,True,theater,plays
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247,successful,92,US,USD,1970-01-01 00:00:01.621746+00:00,1970-01-01 00:00:01.632373200+00:00,False,False,music,rock
1711,3263,Bennett and Sons,Function-based multi-state software,1500.0,7129,successful,149,US,USD,1970-01-01 00:00:01.608271200+00:00,1970-01-01 00:00:01.624770+00:00,False,False,theater,plays
2294,5631,Lamb Inc,Optimized leadingedge concept,33300.0,128862,successful,2431,US,USD,1970-01-01 00:00:01.613973600+00:00,1970-01-01 00:00:01.636524+00:00,False,False,theater,plays
2389,2851,Casey-Kelly,Sharable holistic interface,7200.0,13653,successful,303,US,USD,1970-01-01 00:00:01.611554400+00:00,1970-01-01 00:00:01.643522400+00:00,False,False,music,rock
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.0,2,failed,1,IT,EUR,1970-01-01 00:00:01.633669200+00:00,1970-01-01 00:00:01.635915600+00:00,False,False,music,metal
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.0,145243,failed,1467,GB,GBP,1970-01-01 00:00:01.599454800+00:00,1970-01-01 00:00:01.627534800+00:00,False,True,technology,wearables
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.0,2459,failed,75,US,USD,1970-01-01 00:00:01.615528800+00:00,1970-01-01 00:00:01.641362400+00:00,False,False,theater,plays
2309,3070,Smith-Jones,Reverse-engineered static concept,8800.0,12356,successful,209,US,USD,1970-01-01 00:00:01.634187600+00:00,1970-01-01 00:00:01.640325600+00:00,False,False,film & video,drama
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,6000.0,5392,failed,120,US,USD,1970-01-01 00:00:01.617080400+00:00,1970-01-01 00:00:01.621832400+00:00,False,False,technology,wearables
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.0,11746,successful,131,US,USD,1970-01-01 00:00:01.632891600+00:00,1970-01-01 00:00:01.638165600+00:00,False,False,music,jazz
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.0,11493,successful,164,US,USD,1970-01-01 00:00:01.614751200+00:00,1970-01-01 00:00:01.621659600+00:00,False,False,technology,wearables
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.0,6243,successful,201,US,USD,1970-01-01 00:00:01.627016400+00:00,1970-01-01 00:00:01.638597600+00:00,False,False,games,video games
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,2700.0,6132,successful,211,US,USD,1970-01-01 00:00:01.612850400+00:00,1970-01-01 00:00:01.623387600+00:00,False,False,theater,plays
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,1400.0,3851,successful,128,US,USD,1970-01-01 00:00:01.607580+00:00,1970-01-01 00:00:01.615096800+00:00,False,True,theater,plays
1418,2103,Crawford-Peters,User-centric regional database,94200.0,135997,successful,1600,CA,CAD,1970-01-01 00:00:01.603170+00:00,1970-01-01 00:00:01.629781200+00:00,False,False,theater,plays
1905,2329,Romero-Hoffman,Open-source zero administration complexity,199200.0,184750,failed,2253,CA,CAD,1970-01-01 00:00:01.623733200+00:00,1970-01-01 00:00:01.635224400+00:00,False,False,theater,plays
1969,3325,Sparks-West,Organized incremental standardization,2000.0,14452,successful,249,US,USD,1970-01-01 00:00:01.629349200+00:00,1970-01-01 00:00:01.637474400+00:00,False,False,technology,web
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,4700.0,557,failed,5,US,USD,1970-01-01 00:00:01.624597200+00:00,1970-01-01 00:00:01.626411600+00:00,False,False,theater,plays
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,2800.0,2734,failed,38,US,USD,1970-01-01 00:00:01.621573200+00:00,1970-01-01 00:00:01.632373200+00:00,False,True,technology,web
1934,3631,Berry-Boyer,Mandatory incremental projection,6100.0,14405,successful,236,US,USD,1970-01-01 00:00:01.614060+00:00,1970-01-01 00:00:01.637388+00:00,False,False,theater,plays
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,2900.0,1307,failed,12,US,USD,1970-01-01 00:00:01.633410+00:00,1970-01-01 00:00:01.636174800+00:00,False,True,theater,plays
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,72600.0,117892,successful,4065,GB,GBP,1970-01-01 00:00:01.604383200+00:00,1970-01-01 00:00:01.632459600+00:00,False,True,technology,wearables
963,2194,Moreno-Turner,Inverse multi-tasking installation,5700.0,14508,successful,246,IT,EUR,1970-01-01 00:00:01.597035600+00:00,1970-01-01 00:00:01.612677600+00:00,False,True,theater,plays
1486,2906,Jones-Watson,Switchable disintermediate moderator,7900.0,1901,canceled,17,US,USD,1970-01-01 00:00:01.624770+00:00,1970-01-01 00:00:01.642399200+00:00,False,False,theater,plays
676,2611,Barker Inc,Re-engineered 24/7 task-force,128000.0,158389,successful,2475,IT,EUR,1970-01-01 00:00:01.628398800+00:00,1970-01-01 00:00:01.643522400+00:00,False,True,theater,plays
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,6000.0,6484,successful,76,US,USD,1970-01-01 00:00:01.616130+00:00,1970-01-01 00:00:01.622869200+00:00,False,False,theater,plays
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.0,4022,successful,54,US,USD,1970-01-01 00:00:01.627362+00:00,1970-01-01 00:00:01.638252+00:00,False,False,film & video,animation
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,1400.0,9253,successful,88,US,USD,1970-01-01 00:00:01.589173200+00:00,1970-01-01 00:00:01.615269600+00:00,False,False,music,jazz
747,2812,Davis-Michael,Progressive tertiary framework,3900.0,4776,successful,85,GB,GBP,1970-01-01 00:00:01.624942800+00:00,1970-01-01 00:00:01.630040400+00:00,False,False,music,metal
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.0,14606,successful,170,US,USD,1970-01-01 00:00:01.614232800+00:00,1970-01-01 00:00:01.617166800+00:00,False,False,photography,photography books
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,122900.0,95993,failed,1684,US,USD,1970-01-01 00:00:01.607839200+00:00,1970-01-01 00:00:01.640498400+00:00,True,True,theater,plays
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,9500.0,4460,failed,56,US,USD,1970-01-01 00:00:01.623906+00:00,1970-01-01 00:00:01.630040400+00:00,False,True,film & video,animation
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.0,13536,successful,330,US,USD,1970-01-01 00:00:01.608789600+00:00,1970-01-01 00:00:01.618549200+00:00,False,False,publishing,translations
2885,5725,Soto LLC,Triple-buffered reciprocal project,57800.0,40228,failed,838,US,USD,1970-01-01 00:00:01.623560400+00:00,1970-01-01 00:00:01.637215200+00:00,False,False,theater,plays
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.0,7012,successful,127,US,USD,1970-01-01 00:00:01.624683600+00:00,1970-01-01 00:00:01.634792400+00:00,False,False,games,video games
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857,successful,411,US,USD,1970-01-01 00:00:01.604206800+00:00,1970-01-01 00:00:01.614837600+00:00,False,False,music,rock
2909,3283,Porter-George,Reactive content-based framework,1000.0,14973,successful,180,GB,GBP,1970-01-01 00:00:01.602219600+00:00,1970-01-01 00:00:01.636610400+00:00,False,True,games,video games
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400.0,39996,failed,1000,US,USD,1970-01-01 00:00:01.624597200+00:00,1970-01-01 00:00:01.628398800+00:00,False,False,music,electric music
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,31400.0,41564,successful,374,US,USD,1970-01-01 00:00:01.625288400+00:00,1970-01-01 00:00:01.633410+00:00,False,False,technology,wearables
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430,successful,71,AU,AUD,1970-01-01 00:00:01.622264400+00:00,1970-01-01 00:00:01.629435600+00:00,False,False,music,indie rock
2030,2988,Davis-Smith,Organic motivating firmware,7400.0,12405,successful,203,US,USD,1970-01-01 00:00:01.621141200+00:00,1970-01-01 00:00:01.631422800+00:00,True,False,theater,plays
